Job_Listing,Working_Title,Job Control,Salary_Range,Work_Type/Schedule,Department,Location,Publish_Date,Filing_Deadline,URLs
AUTOMOTIVE TECHNICIAN II,Automotive Technician II,395035,$4057.00 - $5135.00,Permanent Fulltime,California Highway Patrol,San Bernardino County,10/11/2023,10/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395035
AUTOMOTIVE TECHNICIAN II,Automotive Technician II,395117,$4057.00 - $5135.00,Permanent Fulltime,California Highway Patrol,San Bernardino County,10/11/2023,10/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395117
"BUSINESS TAXES ADMINISTRATOR II, BOARD OF EQUALIZATION",Group Supervisor,397361,$7752.00 - $10130.00,Permanent Fulltime,CA Department of Tax and Fee Administration,Sacramento County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397361
"BUSINESS TAXES SPECIALIST I, BOARD OF EQUALIZATION",Senior Tax Auditor,397266,$7017.00 - $8784.00,Permanent Fulltime,CA Department of Tax and Fee Administration,Los Angeles County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397266
C. E. A.,Assistant Executive Officer,393767,$9471.00 - $16021.00,Non-Tenured Fulltime,State Water Resources Control Board,Riverside County,10/11/2023,11/1/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=393767
CALTRANS EQUIPMENT OPERATOR I,SFOBB Bike Shuttle Operator,397671,$4267.00 - $5126.00,Permanent Fulltime,Department of Transportation,Alameda County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397671
CALTRANS HIGHWAY MAINTENANCE WORKER,Caltrans Highway Maintenance Worker,397680,$3830.00 - $4366.00,Permanent Fulltime,Department of Transportation,Alameda County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397680
CALTRANS MAINTENANCE AREA SUPERINTENDENT,Maintenance Safety Officer,397571,$6558.00 - $8139.00,Permanent Fulltime,Department of Transportation,Inyo County,10/11/2023,11/1/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397571
CALTRANS MAINTENANCE SUPERVISOR,CALTRANS MAINTENACE SUPERVISOR,397398,$4848.00 - $6312.00,Permanent Fulltime,Department of Transportation,San Bernardino County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397398
CALTRANS MAINTENANCE SUPERVISOR,MAINTENANCE SUPERVISOR,394964,$4848.00 - $6312.00,Permanent Fulltime,Department of Transportation,San Joaquin County,10/11/2023,10/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=394964
CERTIFIED NURSING ASSISTANT,"Certified Nursing Assistant, CF, Correctional Training Facility, Soledad",394026,$17.90 - $22.41,Limited Term Intermittent,California Correctional Health Care Services,Monterey County,10/11/2023,11/8/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=394026
CERTIFIED NURSING ASSISTANT,CERTIFIED NURSING ASSISTANT - ISUDT,397809,$3103.00 - $3885.00,Permanent Fulltime,California Correctional Health Care Services,Del Norte County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397809
CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY,"CLINICAL SOCIAL WORKER- (ISUDT), Medical Social Worker",397646,$6897.00 - $9437.00,Permanent Fulltime,California Correctional Health Care Services,Kern County,10/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397646
CLINICAL SOCIAL WORKER (HEALTH/CORRECTIONAL FACILITY) - SAFETY,CLINICAL SOCIAL WORKER– Medical Social Worker (ISUDT),397640,$6897.00 - $9437.00,Permanent Fulltime,California Correctional Health Care Services,Riverside County,10/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397640
COMMUNICATIONS SUPERVISOR,ECC Communications Supervisor - Computer Aided Dispatch (CAD) Administrator (Unit ECC),397733,$5075.00 - $6987.00,Permanent Fulltime,Department of Forestry & Fire Protection,Butte County,10/11/2023,10/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397733
"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR II, CORRECTIONAL FACILITY","CORRECTIONAL HEALTH SERVICES ADMINISTRATOR II, CF - SAN QUENTIN STATE PRISON",390781,$8341.00 - $9472.00,Limited Term Fulltime,California Correctional Health Care Services,Marin County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390781
CORRECTIONAL LIEUTENANT,Correctional Lieutenant,397771,$8412.00 - $11247.00,Limited Term Fulltime,Mule Creek State Prison,Amador County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397771
CORRECTIONAL OFFICER,Camp Puerta La Cruz Officer,397778,$23.65 - $8422.00,Permanent Fulltime,Ca Institution for Women,San Bernardino County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397778
CORRECTIONAL OFFICER,Correctional Officer at CC#25 Antelope,397651,$6699.00 - $8422.00,Permanent Fulltime,Sierra Conservation Center,Lassen County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397651
CORRECTIONAL OFFICER,Correctional Officer at CC#11 Acton,397670,$6699.00 - $8422.00,Permanent Fulltime,Sierra Conservation Center,Los Angeles County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397670
CORRECTIONAL SERGEANT,Assistant Camp Commander,397748,$7490.00 - $10007.00,Permanent Fulltime,Ca Institution for Women,San Bernardino County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397748
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),CORRECTIONAL SUPERVISING COOK (CF) - CALIFORNIA MEDICAL FACILITY,397700,$3996.00 - $4916.00,Limited Term Fulltime,California Correctional Health Care Services,Solano County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397700
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),Correctional Supervising Cook,397601,$3996.00 - $4916.00,Permanent Fulltime,Kern Valley State Prison,Kern County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397601
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),Correctional Supervising Cook,397604,$3996.00 - $4916.00,Limited Term Fulltime,Kern Valley State Prison,Kern County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397604
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),Correctional Supervising Cook (Correctional Facility),392410,$3996.00 - $4916.00,Permanent Fulltime,R J Donovan Correctional Facility,San Diego County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392410
CRIME ANALYST I,Crime Analyst l,393571,$3717.00 - $5474.00,Permanent Fulltime,Department of Justice,Sacramento County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=393571
CUSTODIAN I,Custodian I,397738,$2926.00 - $3663.00,Limited Term Fulltime,Department of State Hospitals,San Bernardino County,10/11/2023,10/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397738
ELECTRIC GENERATION SYSTEM SPECIALIST I,Electric Generation System Specialist I,397585,$8550.00 - $10579.00,Permanent Fulltime,California Energy Commission,Sacramento County,10/11/2023,11/1/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397585
ELECTRIC GENERATION SYSTEM SPECIALIST I,Electric Grid Research Specialist,397610,$8550.00 - $10579.00,Permanent Fulltime,California Energy Commission,Sacramento County,10/11/2023,10/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397610
ELECTRICIAN I,Electrician,397696,$5359.00 - $6780.00,Permanent Fulltime,Orange County Fair,Orange County,10/11/2023,10/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397696
EMPLOYMENT PROGRAM REPRESENTATIVE,Employment Program Representative,397690,$3534.00 - $5500.00,Permanent Fulltime,Employment Development Department,Imperial County,10/11/2023,10/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397690
"ENGINEER, WATER RESOURCES","Engineer, WR",387237,$6175.00 - $11567.00,Permanent Fulltime,Department of Water Resources,Sacramento County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=387237
ENVIRONMENTAL SCIENTIST,Environmental Scientist,396769,$4145.00 - $7926.00,Permanent Fulltime,Department of Water Resources,Sacramento County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396769
FINANCIAL ACCOUNTANT I,Financial Accountant I,397516,$6890.00 - $8559.00,Permanent Fulltime,State Controller's Office,Sacramento County,10/11/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397516
PERSONNEL SUPERVISOR II,PERSONNEL SUPERVISOR II,395289,$5460.00 - $6836.00,Permanent Fulltime,Department of Water Resources,Sacramento County,10/11/2023,10/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395289
PROGRAM TECHNICIAN II,PT II - Procurement Specialist,397483,$3373.00 - $4227.00,Permanent Fulltime,Department of Rehabilitation,Santa Barbara County,10/11/2023,10/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397483
SENIOR ENGINEERING GEOLOGIST,Senior Engineering Geologist (Specialist),396750,$10886.00 - $13625.00,Permanent Fulltime,Department of Water Resources,Tehama County,10/11/2023,11/1/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396750
STAFF SERVICES ANALYST,OPL Administrative Support,397512,$3534.00 - $5744.00,Limited Term Part-time,Department of Managed Health Care,Sacramento County,10/11/2023,10/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397512
SUPERVISING TAX AUDITOR II BOARD OF EQUALIZATION,Supervising Tax Auditor,397259,$7704.00 - $10130.00,Permanent Fulltime,CA Department of Tax and Fee Administration,Los Angeles County,10/11/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397259
ACCOUNTANT I (SPECIALIST),Accountant I (Spec) Folsom State Prison,396809,$3600.00 - $4506.00,Permanent Fulltime,Folsom State Prison,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396809
ACCOUNTANT TRAINEE,ACCOUNTANT TRAINEE,397073,$4065.00 - $4847.00,Permanent Fulltime,State Controller's Office,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397073
ACCOUNTANT TRAINEE,Accounts Payable and Travel Claim Processor,396059,$4065.00 - $4992.00,Limited Term Fulltime,State Lands Commission,Sacramento County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396059
ACCOUNTANT TRAINEE,Contract Payments Unit AT/AO-Spec,397528,$4065.00 - $4847.00,Permanent Fulltime,Department of Social Services,Sacramento County,10/10/2023,10/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397528
ACCOUNTANT TRAINEE,Cashier Accountant Trainee,397530,$4065.00 - $4847.00,Permanent Fulltime,Department of Forestry & Fire Protection,Yolo County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397530
ACCOUNTING ADMINISTRATOR I (SUPERVISOR),Fund Reporting Unit Chief,397482,$6563.00 - $8153.00,Permanent Fulltime,Department of Public Health,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397482
ACCOUNTING ANALYST,Accounting Analyst,397273,$3895.00 - $6032.00,Permanent Fulltime,CA Department of Tax and Fee Administration,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397273
ACCOUNTING OFFICER (SPECIALIST),Reconciliation Accountant,397383,$4819.00 - $6032.00,Permanent Fulltime,Public Employees Retirement System,Sacramento County,10/10/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397383
ACCOUNTING OFFICER (SPECIALIST),Accountant Officer (Specialist) Folsom State Prison,396822,$4819.00 - $6032.00,Permanent Fulltime,Folsom State Prison,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396822
"ADMINISTRATOR I, FRANCHISE TAX BOARD",Audit Team Supervisor,397044,$7020.00 - $9224.00,Permanent Fulltime,Franchise Tax Board,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397044
"ADMINISTRATOR I, FRANCHISE TAX BOARD",Administrator I,396939,$7020.00 - $9224.00,Permanent Fulltime,Franchise Tax Board,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396939
"ADMINISTRATOR I, FRANCHISE TAX BOARD",Administrator I,395917,$7020.00 - $9224.00,Permanent Fulltime,Franchise Tax Board,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395917
"ADMINISTRATOR I, FRANCHISE TAX BOARD",Administrator I,395992,$7020.00 - $9224.00,Permanent Fulltime,Franchise Tax Board,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395992
"ADMINISTRATOR, SCIENCE PROGRAM, CALIFORNIA SCIENCE CENTER CEA","Curator, Technology and Special Exhibitions",397408,$8663.00 - $9839.00,Permanent Fulltime,CA Science Center,Los Angeles County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397408
AGRICULTURE PROGRAM SUPERVISOR IV,Compliance Unit Supervisor,396542,$7378.00 - $9186.00,Permanent Fulltime,Department of Food & Agriculture,Sacramento County,10/10/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396542
AIR RESOURCES TECHNICIAN II,AIR RESOURCES TECHNICIAN II,397278,$21.31 - $26.68,Permanent Intermittent,State Air Resources Board,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397278
AIR RESOURCES TECHNICIAN II,AIR RESOURCES TECHNICIAN II,397279,$21.31 - $26.68,Permanent Intermittent,State Air Resources Board,United States,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397279
AIR RESOURCES TECHNICIAN II,AIR RESOURCES TECHNICIAN II,397280,$21.31 - $26.68,Permanent Intermittent,State Air Resources Board,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397280
AIR RESOURCES TECHNICIAN II,Compliance and Reporting Assistance Technician,397281,$21.31 - $26.68,Permanent Intermittent,State Air Resources Board,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397281
"AQUATIC PEST CONTROL TECHNICIAN, DEPT OF BOATING AND WATERWAYS",AQUATIC PEST CONTROL TECHNICIAN,397010,$2786.00 - $4336.00,Permanent Fulltime,Department of Parks & Recreation,Stanislaus County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397010
ASSISTANT COORDINATOR OF NURSING SERVICES,"Assistant Coordinator of Nursing Services/CNS-23-08, CNS, Metropolitan State Hospital",395132,$9651.00 - $12086.00,Permanent Fulltime,Department of State Hospitals,Los Angeles County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=395132
ASSISTANT PROPERTY APPRAISER (BOARD OF EQUALIZATION),Assistant Property Appraiser,397101,$5059.00 - $6336.00,Permanent Fulltime,Board of Equalization,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397101
ASSOCIATE CONSTRUCTION ANALYST,ASSOCIATE CONSTRUCTION ANALYST,397373,$8697.00 - $12570.00,Permanent Fulltime,Department of Developmental Services - Headquarters,Orange County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397373
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Telework Option - Contracts Analyst,397356,$5518.00 - $6907.00,Permanent Fulltime,Department of Housing & Community Development,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397356
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Analyst,397386,$5518.00 - $6907.00,Permanent Fulltime,Department of Social Services,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397386
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Training Coordinator,397389,$5518.00 - $6907.00,Permanent Fulltime,CA Earthquake Authority,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397389
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,397391,$5518.00 - $6907.00,Permanent Fulltime,Department of Transportation,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397391
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,RHU Associate Governmental Program Analyst,397432,$5518.00 - $6907.00,Limited Term Fulltime,"California State Prison, Sacramento",Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397432
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Council Analyst-Telework Option,397454,$5518.00 - $6907.00,Permanent Fulltime,"Business, Consumer Services and Housing Agency",Sacramento County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397454
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,397519,$5518.00 - $7116.00,Permanent Fulltime,Department of Resources Recycling & Recovery,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397519
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,County Liaison Analyst,397295,$5518.00 - $6907.00,Permanent Fulltime,California Victim Compensation Board,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397295
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,397300,$5518.00 - $7116.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,10/10/2023,11/9/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397300
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Contract Analyst,397267,$5518.00 - $6907.00,Permanent Fulltime,Department of Public Health,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397267
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Cal/OSHA Consultation Services Branch,397253,$5518.00 - $6907.00,Permanent Fulltime,Department of Industrial Relations,Sacramento County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397253
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,397310,$5518.00 - $6907.00,Permanent Fulltime,State Controller's Office,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397310
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Administrative Liaison - Operations,397350,$5518.00 - $6907.00,Permanent Fulltime,Department of Industrial Relations,Alameda County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397350
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst/Child Care Advocate,397351,$5518.00 - $6907.00,Permanent Fulltime,Department of Social Services,Sacramento County,10/10/2023,10/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397351
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,397332,$5518.00 - $6907.00,Permanent Fulltime,Military Department,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397332
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Grant Coordinator,397211,$5518.00 - $7116.00,Permanent Fulltime,Department of Fish and Wildlife,Yolo County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397211
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Cal/OSHA Consultation Services Branch,397242,$5518.00 - $6907.00,Permanent Fulltime,Department of Industrial Relations,Fresno County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397242
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Cal/OSHA Consultation Services Branch,397250,$5518.00 - $6907.00,Permanent Fulltime,Department of Industrial Relations,Alameda County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397250
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Enforcement Analyst,358924,$5518.00 - $6907.00,Permanent Fulltime,Department of Consumer Affairs,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=358924
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,394770,$5518.00 - $6907.00,Permanent Fulltime,Department of Water Resources,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=394770
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Acquisitions Analyst,397179,$5518.00 - $6907.00,Limited Term Fulltime,CA Department of Tax and Fee Administration,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397179
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Telework Option,396866,$5518.00 - $6907.00,Permanent Fulltime,Native American Heritage Commission,Yolo County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396866
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst (PC#3178),387335,$5518.00 - $6907.00,Permanent Fulltime,Department of Education,Sacramento County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=387335
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Licensing Analyst,387349,$5518.00 - $6907.00,Permanent Fulltime,Department of Consumer Affairs,Sacramento County,10/10/2023,10/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=387349
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Senior Business Services Analyst,396088,$5518.00 - $6907.00,Limited Term Fulltime,Office of Energy Infrastructure Safety,Sacramento County,10/10/2023,10/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396088
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA - Telework Option,385805,$5518.00 - $6907.00,Permanent Fulltime,Department of Child Support Services,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=385805
ASSOCIATE MANAGEMENT AUDITOR,Associate Management Auditor - Telework,397312,$6082.00 - $7998.00,Permanent Fulltime,Department of Motor Vehicles,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397312
ASSOCIATE MANAGEMENT AUDITOR,Associate Management Auditor - Telework,397348,$6082.00 - $8240.00,Permanent Fulltime,Department of Motor Vehicles,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397348
ASSOCIATE PERSONNEL ANALYST,Recruitment Analyst (Telework Option),396493,$5518.00 - $6907.00,Permanent Fulltime,Department of Health Care Services,Sacramento County,10/10/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396493
ASSOCIATE PROPERTY AUDITOR APPRAISER (BOARD OF EQUALIZATION),Property Auditor Appraiser,397276,$6082.00 - $7998.00,Permanent Fulltime,Board of Equalization,Sacramento County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397276
"ASSOCIATE TAX AUDITOR, BOARD OF EQUALIZATION",Senior Tax Auditor,396055,$6082.00 - $7998.00,Permanent Fulltime,CA Department of Tax and Fee Administration,United States,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396055
ASSOCIATE TRANSPORTATION PLANNER,Associate Transportation Planner / Transportation Planner,397067,$6387.00 - $7999.00,Permanent Fulltime,Department of Transportation,Shasta County,10/10/2023,10/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397067
ASSOCIATE TRANSPORTATION PLANNER,Associate Transportation Planner,397529,$6387.00 - $7999.00,Permanent Fulltime,Department of Transportation,San Luis Obispo County,10/10/2023,10/31/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=397529
